"package_name","package_version","package_description","dependencies"
"perl-AnyData","0.12","The AnyData modules provide simple and uniform access to data from many sources -- perl arrays, local files, remote files retrievable via http or ftp -- and in many formats including flat files (CSV, Fixed Length, Tab Delimited, etc), standard format files (Web Logs, Passwd files, etc.),  structured files (XML, HTML Tables) and binary files with parseable headers (mp3s, jpgs, pngs, etc).  There are two separate modules, each providing a different interface: AnyData.pm provides a simple tied hash interface and DBD::AnyData provides a DBI/SQL interface.  You can use either or both depending on your needs. Fedora Project","perl-AnyData, perl-CGI, perl-Data-Dumper, perl-Exporter, perl-Fcntl, perl-File-Basename, perl-File-Find, perl-HTML-TableExtract, perl-IO, perl-XML-Twig, perl-constant, perl-libs, perl-vars"
"perl-Authen-DecHpwd","2.007","This module implements the SYS$HASH_PASSWORD password hashing function from VMS (also known as LGI$HPWD), and some associated VMS username and password handling functions. Fedora Project","glibc, perl-Data-Integer, perl-Digest-CRC, perl-Exporter, perl-Scalar-String, perl-constant, perl-libs, perl-parent"
"perl-Authen-Passphrase","0.008","These Perl modules provide a passphrase recognizer. Its job is to recognize whether an offered passphrase is the right one. Various passphrase encoding schemes are supported. Fedora Project","perl-Authen-DecHpwd, perl-Authen-Passphrase, perl-Carp, perl-Crypt-DES, perl-Crypt-Eksblowfish, perl-Crypt-MySQL, perl-Crypt-PasswdMD5, perl-Crypt-UnixCrypt_XS, perl-Data-Entropy, perl-Digest, perl-Digest-MD4, perl-Digest-MD5, perl-Digest-SHA, perl-MIME-Base64, perl-Module-Runtime, perl-Params-Classify, perl-libs, perl-parent"
"perl-Bytes-Random-Secure","0.29","Bytes::Random::Secure provides two interfaces for obtaining crypto-quality random bytes. The simple interface is built around plain functions. For greater control over the random number generator's seeding, there is an object-oriented interface that provides much more flexibility. Fedora Project","perl-Carp, perl-Crypt-Random-Seed, perl-Exporter, perl-MIME-Base64, perl-Math-Random-ISAAC, perl-Scalar-List-Utils, perl-constant, perl-libs"
"perl-CGI-Fast","2.17","CGI::Fast is a subclass of the CGI object created by CGI.pm. It is specialized to work well FCGI module, which greatly speeds up CGI scripts by turning them into persistently running server processes. Scripts that perform time-consuming initialization processes, such as loading large modules or opening persistent database connections, will see large performance improvements. Fedora Project","perl-CGI, perl-FCGI, perl-deprecate, perl-if, perl-libs"
"perl-Class-MethodMaker","2.24","Class::MethodMaker solves the problem of having to continually write accessor methods for your objects that perform standard tasks. Fedora Project","glibc, perl-AutoLoader, perl-B, perl-Carp, perl-Class-MethodMaker, perl-Data-Dumper, perl-Exporter, perl-base, perl-constant, perl-libs"
"perl-Color-RGB-Util","0.607","This module contains utilities related to RGB colors. Fedora Project","perl-Digest-SHA, perl-Exporter, perl-libs"
"perl-Compress-Raw-Zlib-tests","2.212","Tests from perl-Compress-Raw-Zlib-2.212. Execute them with ""/usr/libexec/perl-Compress-Raw-Zlib/test"". Fedora Project","bash, perl-Carp, perl-Compress-Raw-Zlib, perl-File-Path, perl-File-Temp, perl-Scalar-List-Utils, perl-Test-Harness, perl-Test-NoWarnings, perl-Test-Simple, perl-constant, perl-interpreter, perl-lib, perl-libs, perl-overload"
"perl-Crypt-GCrypt","1.26","Crypt::GCrypt provides a Perl interface to the libgcrypt cryptographic functions. It currently supports symmetric ciphers such as AES/Rijndael, Twofish, Triple DES, Arcfour etc. Fedora Project","glibc, libgcrypt, perl-Crypt-GCrypt, perl-libs"
"perl-Dancer2","1.1.0","Dancer2 is the new generation of Dancer, the lightweight web-framework for Perl. It is a complete rewrite based on Moo and is meant to be easy and fun. Fedora Project","perl-Attribute-Handlers, perl-CLI-Osprey, perl-Carp, perl-Clone, perl-Config-Any, perl-Dancer2, perl-Data-Dumper, perl-Digest-SHA, perl-Encode, perl-Exporter, perl-Exporter-Tiny, perl-Fcntl, perl-File-Basename, perl-File-Copy, perl-File-Share, perl-File-Temp, perl-File-Which, perl-FindBin, perl-HTTP-Date, perl-HTTP-Headers-Fast, perl-HTTP-Tiny, perl-Hash-Merge-Simple, perl-Hash-MultiValue, perl-IO, perl-IPC-Open3, perl-Import-Into, perl-JSON-MaybeXS, perl-MIME-Base64, perl-Module-Runtime, perl-Moo, perl-POSIX, perl-Path-Tiny, perl-PathTools, perl-Plack, perl-Plack-Middleware-FixMissingBodyInRedirect, perl-Pod-Simple, perl-Ref-Util, perl-Safe, perl-Safe-Isa, perl-Scalar-List-Utils, perl-Sub-Quote, perl-Symbol, perl-Template-Tiny, perl-Template-Toolkit, perl-Test-EOL, perl-Test-Simple, perl-Try-Tiny, perl-Type-Tiny, perl-URI, perl-YAML, perl-constant, perl-interpreter, perl-lib, perl-libs, perl-overload, perl-parent"
"perl-File-ConfigDir","0.021","This module is a helper for installing, reading and finding configuration file locations. It's intended to work in every supported Perl5 environment and will always try to Do The Right Thing(TM). Fedora Project","perl-Carp, perl-Exporter, perl-File-Basename, perl-File-HomeDir, perl-FindBin, perl-List-MoreUtils, perl-PathTools, perl-libs, perl-parent, perl-vars"
"perl-File-KDBX","0.906","File::KDBX provides everything you need to work with KDBX databases. A KDBX database is a hierarchical object database which is commonly used to store secret information securely. It was developed for the KeePass password safe. Fedora Project","perl-Carp, perl-Compress-Raw-Zlib, perl-Crypt-Argon2, perl-CryptX, perl-Data-Dumper, perl-Devel-GlobalDestruction, perl-Encode, perl-Errno, perl-Exporter, perl-File-KDBX, perl-File-Temp, perl-Hash-Util-FieldHash, perl-IO, perl-IO-Compress, perl-IPC-Cmd, perl-Iterator-Simple, perl-Module-Load, perl-Module-Loaded, perl-Ref-Util, perl-Scalar-List-Utils, perl-Scope-Guard, perl-Storable, perl-Symbol, perl-Text-ParseWords, perl-Time-Piece, perl-XML-LibXML, perl-boolean, perl-libs, perl-namespace-clean, perl-overload"
"perl-GraphViz2","2.67","This module provides a Perl interface to the amazing Graphviz, an open source graph visualization tool from AT&T. It is called GraphViz2 so that preexisting code using (the Perl module) GraphViz continues to work. Fedora Project","perl-Data-Section-Simple, perl-File-Temp, perl-File-Which, perl-Graph, perl-GraphViz2, perl-IPC-Run3, perl-Moo, perl-Text-ParseWords, perl-Type-Tiny, perl-libs"
"perl-IO-Async-SSL","0.25","This module extends existing IO::Async classes with extra methods to allow the use of SSL or TLS-based connections using IO::Socket::SSL. It does not directly provide any methods or functions of its own. Fedora Project","perl-Carp, perl-Future, perl-IO-Async, perl-IO-Async-SSL, perl-IO-Socket-SSL, perl-POSIX, perl-base, perl-libs"
"perl-IO-Compress-Brotli","0.004001","IO::Compress::Brotli is a module that compresses Brotli buffers and streams. Despite its name, it is not a subclass of IO::Compress::Base and does not implement its interface. This will be rectified in a future release. Fedora Project","glibc, libbrotli, perl-Exporter, perl-File-Slurper, perl-Getopt-Long, perl-IO-Compress-Brotli, perl-Time-HiRes, perl-interpreter, perl-libs, perl-parent"
"perl-IO-Compress-Lzma","2.212","This distribution provides a Perl interface to allow reading and writing of compressed data created with the lzma library. Fedora Project","perl-Compress-Raw-Lzma, perl-Compress-Raw-Zlib, perl-Exporter, perl-IO-Compress, perl-IO-Compress-Lzma, perl-constant, perl-libs"
"perl-JSON-WebToken","0.10","JSON::WebToken is JSON Web Token (JWT) implementation for Perl Fedora Project","perl-Carp, perl-Crypt-OpenSSL-RSA, perl-Digest-SHA, perl-Exporter, perl-JSON, perl-MIME-Base64, perl-Module-Runtime, perl-constant, perl-libs, perl-overload, perl-parent"
"perl-Mail-Box-POP3","3.006","Maintain a folder which has its messages stored on a remote server. The communication between the client application and the server is implemented using the POP3 protocol. This class uses Mail::Transport::POP3 to hide the transport of information, and focuses solely on the correct handling of messages within a POP3 folder. Fedora Project","perl-Carp, perl-Digest-MD5, perl-Exporter, perl-File-Basename, perl-IO, perl-IO-Socket-IP, perl-IO-Socket-SSL, perl-MIME-Base64, perl-Mail-Box, perl-Mail-Box-POP3, perl-Mail-Message, perl-Mail-Transport, perl-PathTools, perl-Scalar-List-Utils, perl-Socket, perl-base, perl-libs, perl-vars"
"perl-Math-MatrixReal","2.13","Implements the data type ""matrix of reals"" (and consequently also ""vector of reals"") which can be used almost like any other basic Perl type thanks to OPERATOR OVERLOADING, i.e.,  $A = $matrix1 * $matrix2; $B = $A ** 2; $C = $A + 2*B; $D = $C - $B/2; $inverse = $C ** -1; $inverse = 1/$C;  does what you would like it to do. Fedora Project","perl-Carp, perl-Data-Dumper, perl-Exporter, perl-Scalar-List-Utils, perl-libs, perl-overload, perl-vars"
"perl-MooseX-OneArgNew","0.007","MooseX::OneArgNew lets your constructor take a single argument, which will be translated into the value for a one-entry hashref. It is a parameterized role with two parameters: Fedora Project","perl-Moose, perl-MooseX-Role-Parameterized, perl-libs, perl-namespace-autoclean"
"perl-Mozilla-CA","20240730","Mozilla::CA provides a path to ca-certificates copy of Mozilla's bundle of certificate authority certificates in a form that can be consumed by modules and libraries based on OpenSSL. Fedora Project","ca-certificates, perl-PathTools, perl-libs"
"perl-Object-Pad-tests","0.810","Tests from perl-Object-Pad. Execute them with ""/usr/libexec/perl-Object-Pad/test"". Fedora Project","bash, perl-Data-Dumper, perl-Future, perl-Future-AsyncAwait, perl-Moo, perl-Object-Pad, perl-Object-Pad-ExtensionBuilder, perl-Scalar-List-Utils, perl-Syntax-Keyword-Dynamically, perl-Test-Harness, perl-Test-MemoryGrowth, perl-Test-Simple, perl-XS-Parse-Sublike, perl-base, perl-constant, perl-interpreter, perl-lib, perl-libs, perl-threads"
"perl-Plack-Middleware-Session","0.33","This is a Plack Middleware component for session management. By default it will use cookies to keep session state and store data in memory. This distribution also comes with other state and store solutions. Fedora Project","perl-Cookie-Baker, perl-Digest-HMAC, perl-Digest-SHA, perl-MIME-Base64, perl-Plack, perl-Plack-Middleware-Session, perl-Scalar-List-Utils, perl-Storable, perl-Time-HiRes, perl-libs, perl-parent"
"perl-Test-Bits","0.02","This Perl module provides a single subroutine, bits_is(), for testing binary data. Fedora Project","perl-List-AllUtils, perl-Scalar-List-Utils, perl-Test-Simple, perl-libs, perl-parent"
"perl-Test-Data-Split","0.2.2","This module splits a set of data with IDs and arbitrary values into one test file per (key+value) for easy parallelization. Fedora Project","perl-Carp, perl-IO-All, perl-List-MoreUtils, perl-MooX, perl-Test-Data-Split, perl-autodie, perl-libs, perl-parent"
"perl-Test-Mojibake","1.3","Many modern text editors automatically save files using UTF-8 codification. However, the perl interpreter does not expect it by default. Whilst this does not represent a big deal on (most) backend-oriented programs, Web framework (Catalyst, Mojolicious) based applications will suffer so-called Mojibake (literally: ""unintelligible sequence of characters""). Even worse: if an editor saves BOM (Byte Order Mark, U+FEFF character in Unicode) at the start of a script with the executable bit set (on Unix systems), it won't execute at all, due to shebang corruption.  Avoiding codification problems is quite simple:  * Always use utf8/use common::sense when saving source as UTF-8 * Always specify =encoding utf8 when saving POD as UTF-8 * Do neither of above when saving as ISO-8859-1 * Never save BOM (not that it's wrong; just avoid it as you'll barely notice its presence when in trouble)  However, if you find yourself upgrading old code to use UTF-8 or trying to standardize a big project with many developers, each one using a different platform/editor, reviewing all files manually can be quite painful, especially in cases where some files have multiple encodings (note: it all started when I realized that gedit and derivatives are unable to open files with character conversion tables).  Enter the Test::Mojibake ;) Fedora Project","perl-PathTools, perl-Pod-Usage, perl-Test-Mojibake, perl-Test-Simple, perl-Unicode-CheckUTF8, perl-interpreter, perl-libs"
"perl-Types-UUID","0.004","Types::UUID is a type constraint Perl library suitable for use with Moo/Moose attributes, Kavorka sub signatures, and so forth. Fedora Project","perl-Type-Tiny, perl-UUID-Tiny, perl-libs"
"php-common","8.3.15","The php-common package contains files used by both the php package and the php-cli package. Fedora Project","bzip2-libs, glibc, libcurl, libcurl-minimal, openssl-libs, tzdata"
"php-pecl-mcrypt","1.0.6","Provides bindings for the unmaintained libmcrypt. Fedora Project","glibc, libmcrypt, php-common"
"php-pecl-mongodb","1.20.1","The purpose of this driver is to provide exceptionally thin glue between MongoDB and PHP, implementing only fundemental and performance-critical components necessary to build a fully-functional MongoDB driver. Fedora Project","glibc, libbson, libmongocrypt, mongo-c-driver-libs, php-common"
"pipewire-v4l2","1.2.7","This package contains an LD_PRELOAD library that redirects v4l2 applications to PipeWire. Fedora Project","bash, glibc, pipewire-libs"
"plasma-pass","1.2.2","Plasma Pass is a Plasma systray applet to easily access passwords from the Pass password manager. Fedora Project","glibc, gnupg2, gpgmepp, kf6-kcoreaddons, kf6-ki18n, kf6-kitemmodels, liboath, libstdc++, plasma-desktop, plasma5support, qgpgme-qt6, qt6-qtbase, qt6-qtbase-gui, qt6-qtdeclarative"
"plexus-build-api","1.2.0","Plexus Build API Fedora Project","atinject, javapackages-filesystem, plexus-build-api0, plexus-utils, sisu, slf4j"
"primesieve","12.4","primesieve is a program that generates primes using a highly optimized sieve of Eratosthenes implementation. primesieve can generate primes and prime k-tuplets up to 2^64. Fedora Project","glibc, libgcc, libstdc++, primesieve-libs"
"proftpd-mysql","1.3.8c","Module to add MySQL support to the ProFTPD FTP server. Fedora Project","glibc, libidn2, libsodium, mariadb-connector-c, proftpd, zlib-ng-compat"
"pygobject2-codegen","","",""
"python3-avocado-plugins-output-html","92.3","Adds to avocado the ability to generate an HTML report at every job results directory. It also gives the user the ability to write a report on an arbitrary filesystem location. Fedora Project","python3, python3-avocado, python3-jinja2, python3-markupsafe"
"python3-axolotl","0.2.3","This is a ratcheting forward secrecy protocol that works in synchronous and asynchronous messaging environments. Fedora Project","python3, python3-axolotl-curve25519, python3-cryptography, python3-protobuf"
"python3-azure-mgmt-containerregistry","10.3.0","Microsoft Azure Container Registry Client Library for Python Fedora Project","python3, python3-azure-common, python3-azure-mgmt-core, python3-isodate"
"python3-bcrypt","4.1.2","Modern password hashing for your software and your servers. Fedora Project","glibc, libgcc, python3"
"python3-certbot-dns-dnsmadeeasy","2.11.0","Documenation for python-certbot-dns-sakuracloud-doc libraries Fedora Project","python3, python3-acme, python3-certbot, python3-dns-lexicon, python3-setuptools"
"python3-certbot-dns-rfc2136","2.11.0","Documenation for python-certbot-dns-sakuracloud-doc libraries Fedora Project","python3, python3-acme, python3-certbot, python3-dns, python3-setuptools"
"python3-criu","4.0","python3-criu contains Python bindings for criu. Fedora Project","python3, python3-protobuf"
"python3-dns","2.6.1","dnspython is a DNS toolkit for Python. It supports almost all record types. It can be used for queries, zone transfers, and dynamic updates. It supports TSIG authenticated messages and EDNS0.  dnspython provides both high and low level access to DNS. The high level classes perform queries for data of a given name, type, and class, and return an answer set. The low level classes allow direct manipulation of DNS zones, messages, names, and records. Fedora Project","python3"
"python3-dulwich","0.21.7","Dulwich is a pure-Python implementation of the Git file formats and protocols. The project is named after the village in which Mr. and Mrs. Git live in the Monty Python sketch. Fedora Project","glibc, python3, python3-urllib3"
"python3-giacpy-devel","0.7.3","Development libraries of Python3 giacpy. Fedora Project","python3-giacpy"
"python3-grpcio-health-checking","1.48.4","gRPC Python Health Checking ===========================  Reference package for GRPC Python health checking. Fedora Project","python3, python3-grpcio, python3-protobuf"
"python3-hstspreload","2024.9.1","Chromium HSTS Preload list as a Python package. The package provides a single function: in_hsts_preload() which takes an IDNA-encoded host and returns either True or False regarding whether that host should be only accessed via HTTPS. Fedora Project","python3"
"python3-icalendar","5.0.13","iCalendar specification (RFC 2445) defines calendaring format used\ by many applications (Zimbra, Thunderbird and others). This\ module is a parser/generator of iCalendar files for use with\ Python. It follows the RFC 2445 (iCalendar) specification.\ The aim is to make a package that is fully compliant with RFC 2445,\ well designed, simple to use and well documented.\ Fedora Project","bash, python3, python3-dateutil, python3-pytz"
"python3-kdcproxy","1.0.0","This package contains a Python 3.x WSGI module for proxying KDC requests over HTTP by following the MS-KKDCP protocol. It aims to be simple to deploy, with minimal configuration. Fedora Project","python3, python3-dns, python3-pyasn1"
"python3-lockfile","0.12.2","The lockfile module exports a FileLock class which provides a simple API for locking files. Unlike the Windows msvcrt.locking function, the Unix fcntl.flock, fcntl.lockf and the deprecated posixfile module, the API is identical across both Unix (including Linux and Mac) and Windows platforms. The lock mechanism relies on the atomic nature of the link (on Unix) and mkdir (on Windows) system calls. Fedora Project","python3"
"python3-magnumclient","4.4.0"," This is a client library for Magnum built on the Magnum API. It provides a Python API (the magnumclient module) and a command-line tool (magnum). Fedora Project","python3, python3-cryptography, python3-decorator, python3-keystoneauth1, python3-os-client-config, python3-osc-lib, python3-oslo-i18n, python3-oslo-log, python3-oslo-serialization, python3-oslo-utils, python3-pbr, python3-prettytable, python3-requests, python3-stevedore"
"python3-miniupnpc","2.2.5","This package contains python3 interfaces to miniupnpc. Fedora Project","glibc, miniupnpc, python3"
"python3-mnemonic","0.20","This BIP describes the implementation of a mnemonic code or mnemonic sentence - a group of easy to remember words - for the generation of deterministic wallets.  It consists of two parts: generating the mnenomic, and converting it into a binary seed. This seed can be later used to generate deterministic wallets using BIP-0032 or similar methods.  See https://github.com/bitcoin/bips/blob/master/bip-0039.mediawiki for full specification. Fedora Project","python3"
"python3-opentelemetry-instrumentation-psycopg2","0.48~b0","OpenTelemetry Psycopg2 Instrumentation. Fedora Project","python3, python3-opentelemetry-api, python3-opentelemetry-instrumentation, python3-opentelemetry-instrumentation-dbapi"
"python3-pandocfilters","1.5.1","This package provides a few utility functions which make it easier to write pandoc filters in Python. Fedora Project","python3"
"python3-pwntools","4.13.1","Pwntools is a CTF framework and exploit development library. Written in Python, it is designed for rapid prototyping and development, and intended to make exploit writing as simple as possible. Fedora Project","binutils, python3, python3-ROPGadget, python3-capstone, python3-colored-traceback, python3-dateutil, python3-intervaltree, python3-mako, python3-packaging, python3-paramiko, python3-pip, python3-psutil, python3-pyelftools, python3-pygments, python3-pyserial, python3-pysocks, python3-requests, python3-rpyc, python3-six, python3-sortedcontainers, python3-unix-ar, python3-zstandard"
"python3-pygls","1.2.1","pygls (pronounced like ""pie glass"") is a pythonic generic implementation of the Language Server Protocol for use as a foundation for writing your own Language Servers in just a few lines of code. Fedora Project","python3, python3-lsprotocol"
"python3-pypdf+crypto","4.2.0","This is a metapackage bringing in crypto extras requires for python3-pypdf. It makes sure the dependencies are installed. Fedora Project","python3, python3-cryptography, python3-pypdf"
"python3-pyside6","6.8.0","PySide6 is the official Python module from the Qt for Python project, which provides access to the complete Qt 6 framework. Fedora Project","glibc, libgcc, libstdc++, python3, python3-libs, python3-shiboken6, qt6-qt3d, qt6-qtbase, qt6-qtbase-gui, qt6-qtcharts, qt6-qtconnectivity, qt6-qtdatavis3d, qt6-qtdeclarative, qt6-qtgraphs, qt6-qthttpserver, qt6-qtlocation, qt6-qtmultimedia, qt6-qtnetworkauth, qt6-qtpositioning, qt6-qtquick3d, qt6-qtremoteobjects, qt6-qtscxml, qt6-qtsensors, qt6-qtserialbus, qt6-qtserialport, qt6-qtspeech, qt6-qtsvg, qt6-qttools, qt6-qttools-libs-designer, qt6-qttools-libs-help, qt6-qtwebchannel, qt6-qtwebsockets"
"python3-pytest-testinfra+salt","10.1.1","This is a metapackage bringing in salt extras requires for python3-pytest-testinfra. It makes sure the dependencies are installed. Fedora Project","python3, python3-pytest-testinfra, salt"
"python3-reedsolo","1.7.0","A pure-python universal errors-and-erasures Reed-Solomon Codec, based on the wonderful tutorial at wikiversity, written by “Bobmath” and “LRQ3000”. Fedora Project","glibc, python3"
"python3-scales","1.0.9","Tracks server state and statistics, allowing you to see what your server is doing. It can also send metrics to Graphite for graphing or to a file for crash forensics. Fedora Project","python3, python3-simplejson, python3-six"
"python3-sentry-sdk+fastapi","2.17.0","This is a metapackage bringing in fastapi extras requires for python3-sentry-sdk. It makes sure the dependencies are installed. Fedora Project","python3, python3-fastapi, python3-sentry-sdk"
"python3-sphinx-theme-builder","0.2.0","A tool for authoring Sphinx themes with a simple (opinionated) workflow. Fedora Project","python3, python3-nodeenv, python3-packaging, python3-pyproject-metadata, python3-rich, python3-setuptools"
"python3-vine","5.1.0","Promises, promises, promises Fedora Project","python3"
"python3-XStatic-JSEncrypt","2.3.1.1","JavaScript library packaged for setuptools (easy_install) / pip.  This package is intended to be used by any project that needs these files.  It intentionally does not provide any extra code except some metadata nor has any extra requirements.  This package provides Python 3 build of XStatic-JSEncrypt. Fedora Project","python3, python3-XStatic, xstatic-jsencrypt-common"
"python3-yubikey-manager","5.5.0","Python library for configuring a YubiKey. Fedora Project","pcsc-lite, python3, python3-click, python3-cryptography, python3-fido2, python3-keyring, python3-pyscard, ykpers"
"python3-zope-testing","5.0.1","This package provides a number of testing frameworks. It includes a flexible test runner, and supports both doctest and unittest. Fedora Project","python3, python3-setuptools"
"python-certbot-dns-dnsimple-doc","2.11.0","Documenation for python-certbot-dns-sakuracloud-doc libraries Fedora Project",""
"python-gilt-doc","1.2.2","Documentation for python-gilt Fedora Project",""
"python-mpd2-doc","3.1.0","This package contains examples for python-mpd2. Fedora Project",""
"python-pdfminer-doc","20240706","Pdfminer.six is a community maintained fork of the original PDFMiner. It is a tool for extracting information from PDF documents. It focuses on getting and analyzing text data. Pdfminer.six extracts the text from a page directly from the sourcecode of the PDF. It can also be used to get the exact location, font or color of the text.  It is built in a modular way such that each component of pdfminer.six can be replaced easily. You can implement your own interpreter or rendering device that uses the power of pdfminer.six for other purposes than text analysis.  Check out the full documentation on Read the Docs (https://pdfminersix.readthedocs.io/).  Features:  • Written entirely in Python. • Parse, analyze, and convert PDF documents. • PDF-1.7 specification support. (well, almost). • CJK languages and vertical writing scripts support. • Various font types (Type1, TrueType, Type3, and CID) support. • Support for extracting images (JPG, JBIG2, Bitmaps). • Support for various compressions (ASCIIHexDecode, ASCII85Decode, LZWDecode, FlateDecode, RunLengthDecode, CCITTFaxDecode) • Support for RC4 and AES encryption. • Support for AcroForm interactive form extraction. • Table of contents extraction. • Tagged contents extraction. • Automatic layout analysis. Fedora Project",""
"python-pymacaroons-pynacl-doc","0.13.0","Documentation for the python-pymacaroons-pynacl package.  This is a Python re-implementation of the libmacaroons C library. Macaroons, like cookies, are a form of bearer credential. Unlike opaque tokens, macaroons embed caveats that define specific authorization requirements for the target service, the service that issued the root macaroon and which is capable of verifying the integrity of macaroons it receives.  Macaroons allow for delegation and attenuation of authorization. They are simple and fast to verify, and decouple authorization policy from the enforcement of that policy. Fedora Project",""
"python-wxpython4-doc","4.2.1","Documentation, samples and demo application for wxPython. Fedora Project",""
"qca-devel","2.2.1","This packages contains the development files for QCA. Fedora Project","cmake-filesystem, pkgconf-pkg-config, qca, qt-devel"
"qca-gcrypt","2.2.1","Gcrypt plugin for the Qt4 Cryptographic Architecture. Fedora Project","glibc, libgcc, libgcrypt, libstdc++, qca, qt"
"qemu-user-binfmt","9.1.2","This package provides the user mode emulation of qemu targets Fedora Project","bash, qemu-user, systemd"
"qgpgme-qt5-devel","1.23.2","Development libraries and header files for gpgme-qt5. Fedora Project","cmake-filesystem, qgpgme-common-devel, qgpgme-qt5"
"qt5-qtnetworkauth","5.15.15","Qt5 - NetworkAuth component Fedora Project","glibc, libstdc++, qt5-qtbase"
"qt6-qtbase","6.8.1","Qt is a software toolkit for developing applications.  This package contains base tools, like string, xml, and network handling. Fedora Project","dbus-libs, double-conversion, glib2, glibc, krb5-libs, libb2, libbrotli, libgcc, libicu, libproxy, libstdc++, libzstd, openssl-libs, pcre2-utf16, qt6-filesystem, qt6-qtbase-common, sqlite-libs, systemd-libs, zlib-ng-compat"
"qtkeychain-qt5","0.14.3","The qt5keychain library allows you to store passwords easily and securely. Fedora Project","glib2, glibc, libgcc, libstdc++, qt5-qtbase"
"qt-mobility-gallery","1.2.2","QtGallery support. Fedora Project","glibc, libgcc, libstdc++, qt, qt-mobility-common, qt-x11"
"radcli-devel","1.4.0","This package contains libraries and header files for developing applications that use radcli. Fedora Project","gnutls-devel, nettle-devel, pkgconf-pkg-config, radcli"
"R-digest-devel","0.6.33","Header files for compiling against digest. Fedora Project","R-digest"
"rhash","1.4.4","RHash is a console utility for calculation  and verification of magnet links and a wide range of hash sums like  CRC32,  MD4, MD5,  SHA1, SHA256, SHA512, SHA3,   AICH,  ED2K,  Tiger,  DC++ TTH,  BitTorrent BTIH,   GOST R 34.11-94, RIPEMD-160, HAS-160, EDON-R, Whirlpool and Snefru.  Hash sums are used to  ensure and verify integrity  of large volumes of data for a long-term storing or transferring.  Features: * Output in a predefined (SFV, BSD-like) or a user-defined format. * Can calculate Magnet links. * Updating hash files (adding hash sums of files missing in the hash file). * Calculates several hash sums in one pass * Ability to process directories recursively. * Portability: the program works the same on Linux, *BSD or Windows. Fedora Project","glibc"
"rist-tools","0.2.7","This package contains the user tools for the RIST protocol library. Fedora Project","glibc, librist, mbedtls"
"rsyslog-openssl","8.2312.0","The rsyslog-openssl package contains the rsyslog plugins that provide the ability to send and receive syslog messages via TCP or RELP using TLS encryption via OpenSSL library. For details refer to rsyslog doc on imtcp and omfwd modules. Fedora Project","glibc, libcap-ng, openssl-libs, rsyslog"
"rubygem-bcrypt-doc","3.1.18","Documentation for rubygem-bcrypt. Fedora Project","rubygem-bcrypt"
"rubygem-krb5-auth","0.8.3","Kerberos binding for Ruby Fedora Project","glibc, krb5-libs, libcom_err, ruby-libs, rubygems"
"rubygem-net-ssh","7.3.0","Net::SSH: a pure-Ruby implementation of the SSH2 client protocol. It allows you to write programs that invoke and interact with processes on remote servers, via SSH2. Fedora Project","ruby-default-gems, rubygems"
"rubygem-stomp","1.4.10","Ruby client for the Stomp messaging protocol Fedora Project","rubygems, rubypick"
"ruby-libs","3.3.6","This package includes the libruby, necessary to run Ruby. Fedora Project","glibc, gmp, libffi, libxcrypt, openssl-libs, zlib-ng-compat"
"rust-actix-web+actix-tls-devel","4.9.0","Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust.  This package contains library source intended for building other packages which use the ""actix-tls"" feature of the ""actix-web"" crate. Fedora Project","cargo, rust-actix-tls-devel, rust-actix-web-devel"
"rust-adler32+std-devel","1.2.0","Minimal Adler32 implementation for Rust.  This package contains library source intended for building other packages which use the ""std"" feature of the ""adler32"" crate. Fedora Project","cargo, rust-adler32-devel"
"rust-aead+stream-devel","0.5.2","Traits for Authenticated Encryption with Associated Data (AEAD) algorithms, such as AES-GCM as ChaCha20Poly1305, which provide a high- level API.  This package contains library source intended for building other packages which use the ""stream"" feature of the ""aead"" crate. Fedora Project","cargo, rust-aead-devel"
"rust-aes-gcm+arrayvec-devel","0.10.3","Pure Rust implementation of the AES-GCM (Galois/Counter Mode) Authenticated Encryption with Associated Data (AEAD) Cipher with optional architecture-specific hardware acceleration.  This package contains library source intended for building other packages which use the ""arrayvec"" feature of the ""aes-gcm"" crate. Fedora Project","cargo, rust-aead+arrayvec-devel, rust-aes-gcm-devel"
"rust-aes-gcm+heapless-devel","0.10.3","Pure Rust implementation of the AES-GCM (Galois/Counter Mode) Authenticated Encryption with Associated Data (AEAD) Cipher with optional architecture-specific hardware acceleration.  This package contains library source intended for building other packages which use the ""heapless"" feature of the ""aes-gcm"" crate. Fedora Project","cargo, rust-aead+heapless-devel, rust-aes-gcm-devel"
"rust-aes-gcm+zeroize-devel","0.10.3","Pure Rust implementation of the AES-GCM (Galois/Counter Mode) Authenticated Encryption with Associated Data (AEAD) Cipher with optional architecture-specific hardware acceleration.  This package contains library source intended for building other packages which use the ""zeroize"" feature of the ""aes-gcm"" crate. Fedora Project","cargo, rust-aes-gcm-devel, rust-zeroize-devel"
"rust-argon2+default-devel","0.5.3","Pure Rust implementation of the Argon2 password hashing function with support for the Argon2d, Argon2i, and Argon2id algorithmic variants.  This package contains library source intended for building other packages which use the ""default"" feature of the ""argon2"" crate. Fedora Project","cargo, rust-argon2+alloc-devel, rust-argon2+password-hash-devel, rust-argon2+rand-devel, rust-argon2-devel"
"rust-axum+original-uri-devel","0.7.9","Web framework that focuses on ergonomics and modularity.  This package contains library source intended for building other packages which use the ""original-uri"" feature of the ""axum"" crate. Fedora Project","cargo, rust-axum-devel"
